Car brand + mode, car price, car mileage
Peugeot 107, £3,795, 60,000 miles
Chevrolet Spark, £3,195, 48,171 miles
Ford KA, £3,999, 53,037 miles
Suzuki Alto, £4,440, 39,550 miles
Suzuki Alto, £3,660, 56,000 miles
Fiat 500, £4,480, 42,052 miles
Nissan Micra, £4,274, 43,800 miles
Citroen C1, £3,795, 47,500 miles
SEAT Ibiza, £8,999, 53,138 miles
Nissan Micra, £3,995, 53,000 miles
Ford KA, £3,695, 59,989 miles
Suzuki Alto, £4,189, 56,804 miles
Toyota IQ, £3,999, 47,000 miles
Citroen C1, £3,950, 54,233 miles
Peugeot 107, £4,495, 53,000 miles
Chevrolet Spark, £3,695, 53,000 miles
Suzuki Alto, £3,695, 53,700 miles
Vauxhall Corsa, £3,675, 52,000 miles
Citroen C1, £4,495, 25,000 miles
SKODA Fabia, £4,285, 38,689 miles
Toyota Yaris, £9,500, 40,522 miles
Suzuki Alto, £3,987, 55,000 miles
Toyota Aygo, £4,500, 56,000 miles
Peugeot 107, £4,489, 39,860 miles
Peugeot 107, £3,995, 35,100 miles
Suzuki Alto, £4,294, 19,420 miles
Toyota Aygo, £3,750, 53,000 miles
Citroen C1, £4,450, 59,811 miles
Nissan Pixo, £2,495, 55,000 miles
KIA Picanto, £4,495, 53,152 miles
Ford KA, £4,200, 28,363 miles
Citroen C1, £3,655, 59,190 miles
Volkswagen Polo, £13,499, 43,392 miles
Nissan Micra, £3,895, 46,206 miles
Vauxhall Corsa, £4,195, 58,000 miles
Peugeot 107, £3,990, 60,000 miles
Chevrolet Spark, £2,995, 42,000 miles
Peugeot 107, £3,695, 43,600 miles
Toyota Aygo, £4,000, 58,780 miles
Peugeot 107, £3,495, 50,000 miles
Peugeot 107, £3,295, 55,155 miles
Ford KA, £3,790, 39,910 miles
Toyota Aygo, £4,499, 30,000 miles
Vauxhall Corsa, £4,500, 52,717 miles
Ford KA+, £8,685, 39,500 miles
Ford KA, £4,495, 45,000 miles
Peugeot 107, £3,695, 46,000 miles
Nissan Micra, £3,995, 44,000 miles
Suzuki Alto, £4,295, 46,425 miles
Ford KA, £3,895, 52,716 miles
Ford KA, £4,490, 16,923 miles
Citroen C1, £4,350, 48,370 miles
Citroen C1, £3,995, 40,000 miles
Ford KA, £3,495, 58,946 miles
Chrysler Ypsilon, £3,990, 51,000 miles
Vauxhall Corsa, £3,499, 46,844 miles
Toyota Yaris, £9,500, 40,522 miles
Chevrolet Spark, £3,495, 51,000 miles
Ford KA, £4,295, 23,200 miles
Toyota Aygo, £4,490, 47,000 miles
Nissan Micra, £2,950, 52,030 miles
Peugeot 107, £3,795, 59,000 miles
SKODA Citigo, £4,500, 47,800 miles
Ford KA, £3,995, 54,000 miles
Fiat 500, £3,999, 52,000 miles
Peugeot 107, £3,995, 59,000 miles
Fiat Panda, £4,399, 50,000 miles
SKODA Fabia, £4,285, 38,689 miles
Ford KA+, £8,685, 39,500 miles
Citroen C1, £4,350, 36,181 miles
Peugeot 107, £3,695, 44,869 miles
Ford KA, £3,795, 60,000 miles
KIA Picanto, £4,200, 52,000 miles
Toyota Aygo, £4,500, 49,858 miles
Suzuki Alto, £3,600, 53,989 miles
Vauxhall Corsa, £4,395, 37,000 miles
Ford KA, £3,899, 59,153 miles
Peugeot 107, £3,295, 52,526 miles
Vauxhall Corsa, £3,995, 53,271 miles
Peugeot 107, £3,200, 51,546 miles
Volkswagen Polo, £13,499, 43,392 miles
KIA Picanto, £4,399, 49,920 miles
Toyota Aygo, £4,200, 50,285 miles
Citroen C1, £4,499, 27,000 miles
Fiat Panda, £3,900, 49,787 miles
Citroen C1, £4,280, 41,000 miles
Peugeot 107, £4,295, 48,000 miles
Ford KA, £3,999, 44,911 miles
Fiat Panda, £3,995, 47,108 miles
Ford KA, £3,495, 56,219 miles
Ford KA, £4,110, 53,000 miles
Suzuki Alto, £2,500, 48,000 miles
Hyundai i20, £8,200, 49,402 miles
Fiat Panda, £4,465, 58,511 miles
Ford KA, £3,750, 56,500 miles
Citroen C1, £4,195, 42,000 miles
Citroen C1, £2,799, 60,000 miles
KIA Picanto, £4,490, 58,261 miles
Peugeot 107, £4,499, 48,290 miles
Nissan Micra, £3,945, 45,000 miles
Fiat Panda, £3,195, 47,650 miles
SKODA Citigo, £4,200, 38,500 miles
KIA Picanto, £4,390, 53,400 miles
Peugeot 107, £3,550, 59,960 miles
SEAT Ibiza, £8,999, 53,138 miles
Suzuki Alto, £3,995, 57,000 miles
Citroen C1, £4,500, 43,300 miles
Suzuki Alto, £3,990, 35,000 miles
Ford KA, £4,295, 52,713 miles
Chevrolet Spark, £2,995, 29,756 miles
Peugeot 107, £4,495, 50,000 miles
Citroen C1, £4,300, 50,000 miles
SKODA Fabia, £4,400, 59,000 miles
Citroen C1, £3,995, 51,300 miles
Peugeot 107, £4,440, 28,093 miles
SKODA Fabia, £4,285, 38,689 miles
Hyundai i20, £8,200, 49,402 miles
Fiat Panda, £2,999, 58,000 miles
Citroen C1, £2,700, 40,400 miles
Vauxhall Corsa, £3,900, 49,541 miles
Fiat Panda, £4,293, 44,000 miles
Vauxhall Corsa, £4,250, 55,000 miles
Peugeot 107, £4,250, 48,000 miles
Suzuki Splash, £3,495, 37,520 miles
Toyota Aygo, £4,500, 48,761 miles
Nissan Pixo, £4,095, 56,805 miles
Vauxhall Corsa, £4,275, 52,000 miles
Vauxhall Corsa, £4,500, 52,717 miles
Hyundai i20, £8,900, 39,553 miles
Suzuki Alto, £3,995, 45,000 miles
Volkswagen UP!, £4,290, 54,102 miles
Suzuki Alto, £3,390, 51,990 miles
Toyota Aygo, £4,500, 43,531 miles
Suzuki Alto, £3,799, 58,206 miles
Ford KA, £4,295, 48,500 miles
Suzuki Alto, £4,350, 38,000 miles
Peugeot 107, £4,495, 25,400 miles
Peugeot 107, £3,995, 44,317 miles
Ford KA, £4,000, 59,966 miles
Peugeot 107, £3,550, 59,960 miles
Volkswagen Polo, £13,499, 43,392 miles
Fiat Panda, £4,350, 43,160 miles
Toyota Aygo, £4,395, 49,450 miles
Peugeot 107, £4,500, 56,000 miles
Peugeot 107, £4,000, 45,980 miles
Peugeot 107, £4,190, 48,000 miles
Citroen C1, £3,750, 53,800 miles
Chevrolet Spark, £2,100, 55,607 miles
Fiat Panda, £4,260, 58,828 miles
KIA Picanto, £4,250, 56,347 miles
MG MG3, £3,870, 59,350 miles
Vauxhall Corsa, £3,499, 46,844 miles
KIA RIO, £7,100, 58,957 miles
Ford KA, £3,790, 53,000 miles
Peugeot 107, £3,920, 47,000 miles
Chevrolet Spark, £3,290, 40,340 miles
Vauxhall Corsa, £3,995, 47,000 miles
Chevrolet Spark, £3,549, 55,718 miles
Suzuki Alto, £3,595, 56,419 miles
Peugeot 107, £4,495, 54,461 miles
Suzuki Alto, £2,999, 59,000 miles
Citroen C1, £3,999, 54,000 miles
Peugeot 107, £2,895, 43,000 miles
Fiat 500, £4,357, 58,813 miles
Vauxhall Corsa, £10,463, 16,344 miles
Peugeot 107, £4,495, 43,000 miles
Suzuki Alto, £3,695, 43,000 miles
Ford KA, £3,995, 50,000 miles
Fiat 500, £4,395, 59,000 miles
Fiat Panda, £3,395, 50,369 miles
Vauxhall Corsa, £3,995, 57,714 miles
Fiat Panda, £4,495, 31,387 miles
Suzuki Alto, £4,295, 45,000 miles
Ford KA, £3,745, 46,000 miles
Citroen C1, £3,990, 60,000 miles
Fiat 500, £4,357, 58,813 miles
Vauxhall Corsa, £10,250, 14,837 miles
KIA Picanto, £4,500, 48,895 miles
Peugeot 107, £4,000, 57,705 miles
Citroen C1, £3,950, 55,300 miles
Chrysler Ypsilon, £3,995, 42,000 miles
Suzuki Alto, £3,595, 48,358 miles
Toyota Aygo, £4,495, 56,000 miles
KIA Picanto, £4,499, 58,700 miles
Peugeot 107, £3,499, 59,790 miles
Ford KA, £4,366, 57,564 miles
Toyota Aygo, £4,300, 42,998 miles
Vauxhall Corsa, £4,500, 52,717 miles
Hyundai i20, £8,200, 49,402 miles
Nissan Micra, £3,600, 38,600 miles
Ford KA, £3,895, 43,000 miles
Peugeot 107, £4,360, 47,591 miles
Chevrolet Spark, £3,300, 50,000 miles
Ford KA, £3,845, 52,147 miles
Citroen C1, £3,995, 40,750 miles
Peugeot 107, £3,990, 58,000 miles
Fiat Panda, £3,690, 49,017 miles
Peugeot 107, £4,450, 46,600 miles
Citroen C1, £4,499, 53,000 miles
Fiat 500, £4,357, 58,813 miles
Ford KA+, £8,685, 39,500 miles
Nissan Micra, £4,095, 50,664 miles
Peugeot 107, £3,490, 33,006 miles
Chevrolet Spark, £2,950, 45,690 miles
Vauxhall Corsa, £4,495, 58,000 miles
Citroen C1, £4,299, 42,397 miles
Suzuki Alto, £4,345, 46,000 miles
Chevrolet Spark, £3,595, 46,720 miles
Citroen C1, £3,990, 27,000 miles
Ford KA, £3,990, 54,820 miles
Citroen C1, £3,800, 51,492 miles
Suzuki Alto, £2,500, 48,000 miles
Volkswagen Polo, £13,499, 43,392 miles
Citroen C1, £4,500, 49,272 miles
Ford KA, £4,390, 57,000 miles
Peugeot 107, £4,290, 35,125 miles
Toyota Aygo, £4,400, 39,300 miles
Citroen C1, £4,474, 53,570 miles
Peugeot 107, £4,199, 50,300 miles
Peugeot 107, £4,495, 20,200 miles
Suzuki Alto, £4,395, 40,000 miles
Peugeot 107, £4,360, 58,000 miles
Ford KA, £3,749, 60,000 miles
Peugeot 107, £3,550, 59,960 miles
Ford KA+, £8,685, 39,500 miles
Citroen C1, £4,195, 51,742 miles
Peugeot 107, £4,395, 51,000 miles
Peugeot 107, £3,750, 31,000 miles
Ford KA, £3,995, 44,410 miles
Nissan Micra, £4,390, 42,622 miles
SEAT MII, £4,499, 49,900 miles
Suzuki Alto, £4,495, 49,200 miles
Chevrolet Spark, £4,295, 32,353 miles
Citroen C1, £4,295, 48,329 miles
Ford KA, £4,495, 48,796 miles
Citroen C1, £3,795, 47,500 miles
SEAT Ibiza, £8,999, 53,138 miles
Peugeot 107, £4,000, 60,000 miles
Peugeot 107, £3,995, 48,400 miles
Toyota IQ, £4,394, 46,049 miles
Vauxhall Corsa, £4,495, 43,000 miles
Peugeot 107, £3,140, 52,164 miles
Dacia Sandero, £4,250, 42,527 miles
Ford KA, £4,499, 47,661 miles
Nissan Pixo, £4,299, 43,704 miles
Ford KA, £3,750, 55,000 miles
Fiat 500, £4,200, 55,000 miles
Citroen C1, £3,655, 59,190 miles
Vauxhall Corsa, £10,250, 14,837 miles
Toyota Aygo, £4,295, 58,000 miles
Citroen C1, £4,280, 49,440 miles
Chevrolet Spark, £4,499, 10,000 miles
Citroen C1, £4,495, 55,000 miles
Suzuki Splash, £3,490, 55,000 miles
Ford KA, £3,985, 41,676 miles
Citroen C1, £4,495, 45,088 miles
Suzuki Alto, £4,449, 29,940 miles
Peugeot 107, £4,499, 32,000 miles
Suzuki Alto, £4,200, 51,682 miles
Suzuki Alto, £2,500, 48,000 miles
Ford KA+, £8,685, 39,500 miles
Suzuki Alto, £4,290, 51,000 miles
Citroen C1, £4,100, 52,000 miles
Fiat 500, £4,500, 54,475 miles
Fiat Panda, £2,695, 59,603 miles
Citroen C1, £3,995, 52,256 miles
Peugeot 107, £3,495, 42,892 miles
Peugeot 107, £4,450, 54,117 miles
Vauxhall Corsa, £3,995, 56,125 miles
Peugeot 107, £4,250, 52,407 miles
Citroen C1, £4,495, 22,000 miles
Vauxhall Corsa, £4,500, 52,717 miles
Vauxhall Corsa, £10,250, 14,837 miles
Peugeot 107, £4,295, 51,919 miles
Peugeot 107, £4,295, 54,700 miles
Vauxhall Corsa, £3,350, 55,200 miles
Vauxhall Corsa, £3,249, 55,000 miles
Peugeot 208, £4,499, 60,000 miles
Fiat 500, £4,495, 58,000 miles
Citroen C1, £3,250, 45,580 miles
Peugeot 107, £3,995, 46,000 miles
Ford KA, £4,100, 30,500 miles
Peugeot 107, £3,750, 23,500 miles
Fiat 500, £4,357, 58,813 miles
Toyota Yaris, £9,500, 40,522 miles
Ford KA, £4,495, 52,634 miles
Citroen C1, £3,950, 41,150 miles
Citroen C1, £3,995, 42,000 miles
Volkswagen FOX, £3,950, 29,700 miles
Vauxhall Corsa, £3,695, 49,000 miles
Ford KA, £3,695, 56,000 miles
Ford KA, £4,395, 53,000 miles
Ford KA, £3,495, 56,321 miles
Suzuki Alto, £3,895, 53,500 miles
Ford KA, £3,795, 59,620 miles
Vauxhall Corsa, £4,500, 52,717 miles
Volkswagen Polo, £13,499, 43,392 miles
Citroen C1, £3,995, 51,000 miles
Toyota Aygo, £4,495, 54,000 miles
Toyota Aygo, £4,200, 53,743 miles
Toyota Aygo, £4,399, 56,431 miles
Citroen C1, £3,760, 33,000 miles
Peugeot 107, £3,995, 51,000 miles
Peugeot 107, £3,195, 47,000 miles
Ford KA, £3,995, 33,821 miles
Toyota Aygo, £4,290, 49,822 miles
Chrysler Ypsilon, £3,495, 52,000 miles
Peugeot 107, £3,550, 59,960 miles
Toyota Aygo, £4,895, 45,042 miles
Citroen C1, £3,295, 60,000 miles
Peugeot 107, £3,995, 33,000 miles
Citroen C1, £4,495, 59,642 miles
Nissan Micra, £3,250, 50,700 miles
Citroen C1, £3,990, 31,000 miles
Citroen C1, £3,995, 51,000 miles
Peugeot 107, £3,995, 39,958 miles
Nissan Pixo, £3,500, 50,000 miles
Nissan Micra, £3,499, 60,000 miles
Citroen C1, £4,495, 31,498 miles
Peugeot 107, £3,550, 59,960 miles
KIA RIO, £7,100, 58,957 miles
